"","x"
"304","Csmd3"
"305","Tmem71"
"306","Robo1"
"307","Commd10"
"308","Impa2"
"309","Incenp"
"310","Nusap1"
"311","Spc25"
"312","Smc4"
"313","Gm12901"
"314","Mfap2"
"315","C530008M17Rik,Gm10430"
"316","Spon2"
"317","Pdzrn3"
"318","Fam60a"
"319","Suv420h2"
"320","Gm6905"
"321","Cdkn1c"
"322","Mcm5"
"323","Cd109"
"324","Smad6"
"325","Tbx18"
"326","Lpar4"
"327","Tmem164"
"328","Ctps2"
"329","Gm8864"
"330","Col4a6"
"331","Gm8217"
"332","Kdm5b"
"333","E2f7"
"334","Gas2l3"
"335","Aurkb"
"336","Rgs6"
"337","Hnrnpa0"
"338","Gm17352"
"339","Spata13"
"340","Zfpm2"
"341","Pabpc1"
"342","Fstl1"
"343","Robo2"
"344","Psat1"
"345","Gm13508"
"346","Mdk"
"347","Meis2"
"348","Epha7"
"349","Ptpn13"
"350","Foxp2"
"351","Fam115a"
"352","Diap2"
"353","Rbm3"
"354","Ints7"
"355","Rtkn2"
"356","Lss"
"357","Atxn7l3b"
"358","Cnot6"
"359","Chd3"
"360","2410018L13Rik"
"361","Trib2"
"362","Edil3"
"363","Lyrm4"
"364","Rdbp"
"365","Stub1"
"366","Gm13421"
"367","Mcm10"
"368","Myef2"
"369","Ncaph"
"370","Rbl1"
"371","Trim55"
"372","Col11a1"
"373","Ccna2"
"374","Ssbp3"
"375","E130306D19Rik"
"376","Jakmip1"
"377","Srd5a3"
"378","Jazf1"
"379","Eno2"
"380","Rbp1"
"381","Dixdc1"
"382","Cmtm7"
"383","Aff2"
"384","Klhl13"
"385","Plac1"
"386","Gpr126"
"387","Arid5b"
"388","Ckap4"
"389","Cdk2"
"390","4933415A04Rik,Ccnjl"
"391","Rph3al"
"392","Arl15"
"393","Hmgcr"
"394","Stk3"
"395","Atad2"
"396","Khsrp"
"397","Gm13371"
"398","Tpd52"
"399","Tmeff1"
"400","Cit"
"401","Dbf4"
"402","Dnahc6"
"403","Kcnq1"
"404","Gm9801"
"405","Sfrp1"
"406","Neil3"
"407","Heph"
"408","Stx8"
"409","Zfp36l1"
"410","Myh7"
"411","Azin1"
"412","Tcf19"
"413","Thbs1"
"414","Bub1b"
"415","Itga8"
"416","Rps24-ps2"
"417","Gucy1a3"
"418","Runx1t1"
"419","Unc13b"
"420","Fancg"
"421","Casp3"
"422","Usp11"
"423","Nono"
"424","Slc9a7"
"425","Cdk1"
"426","Pisd-ps1"
"427","Cbx8"
"428","Cdkal1"
"429","Fhit"
"430","Cpt1a"
"431","Gja5"
"432","Ttf2"
"433","Fggy"
"434","Tnfrsf9"
"435","Gm12913"
"436","Ldb2"
"437","Fto"
"438","Soat1"
"439","Sox9"
"440","Elmo1"
"441","Gm17588"
"442","Mcm4"
"443","Fam107b"
"444","Tpm2"
"445","Prcp"
"446","Smarcc1"
"447","Chek1"
"448","Ubash3b"
"449","Npas2"
"450","Kif1a"
"451","Rorb"
"452","Rad51"
"453","Tgif2"
"454","Tyms"
"455","Asb4"
"456","Mbnl3"
"457","Gm8292"
"458","Gli2"
"459","Mical1"
"460","1700040L02Rik"
"461","Kcnh6"
"462","2810429I04Rik"
"463","Zfyve19"
"464","Rem1"
"465","Adamtsl1"
"466","Cbx3"
"467","Adamts17"
"468","Adamts8"
"469","Smarca1"
"470","Col3a1"
"471","Aldh1l2"
"472","Smtnl2"
"473","Smarce1"
"474","Flrt2"
"475","Pgcp"
"476","Hunk"
"477","Kifc1"
"478","Ppic"
"479","Fam38b"
"480","Casc5"
"481","Dstn"
"482","Trim59"
"483","Cd1d1"
"484","Stil"
"485","Cort"
"486","Pole"
"487","Ccnd2"
"488","Tpm3-rs7"
"489","Sqle"
"490","Fbxl17"
"491","Olfr628"
"492","Trim5"
"493","Car12"
"494","4930452B06Rik"
"495","H1f0"
"496","Prickle1"
"497","Arhgap28"
"498","Ccdc3"
"499","Dsn1"
"500","Pcdh18"
"501","Copg2"
"502","Tcf12"
"503","Tet1"
"504","Myh10"
"505","Pemt"
"506","Gpr137b-ps"
"507","Rnd3"
"508","Lig1"
"509","Dctd"
"510","Zfp868"
"511","Cnn1"
"512","Topbp1"
"513","Pola1"
"514","Cntrob"
"515","Yeats2"
"516","Cox8a"
"517","Zbtb34"
"518","Stk39"
"519","Tbc1d1"
"520","Cald1"
"521","Casp2"
"522","Cdca3"
"523","Col6a6"
"524","Bex1"
"525","Prps2"
"526","Erbb4"
"527","1700019E19Rik"
"528","Cchcr1"
"529","Cdca7"
"530","Fabp5"
"531","Pi4k2b"
"532","Lphn3"
"533","Armcx3"
"534","Prim2"
"535","3110003A17Rik"
"536","Azi1"
"537","Nid2"
"538","Trerf1"
"539","E2f1"
"540","Ptgfrn"
"541","Bach2"
"542","Pard3b"
"543","Camk1g"
"544","Dyrk2"
"545","Spry2"
"546","Nsmce2"
"547","Sort1"
"548","Megf6"
"549","Ipo9"
"550","Spag5"
"551","Hnrnpa1"
"552","Lox"
"553","6230409E13Rik"
"554","Insc"
"555","Grik5"
"556","Arl6ip1"
"557","2310046A06Rik"
"558","Bhlhb9"
"559","Atp1b2"
"560","Brca1"
"561","Uchl1"
"562","8430419L09Rik"
"563","Creb3l2"
"564","Gsr"
"565","Asf1b"
"566","6820431F20Rik"
"567","H2afx"
"568","Anln"
"569","Prrg3"
"570","Pan2"
"571","Sipa1l1"
"572","Tspan2"
"573","Elovl6"
"574","Agrn"
"575","Nup210"
"576","Erbb2"
"577","Fignl1"
"578","Antxr1"
"579","Itpripl2"
"580","Vegfc"
"581","Akr1cl"
"582","Fstl4"
"583","Traf4"
"584","Daam2"
"585","Spink10"
"586","E130307A14Rik"
"587","Rhoj"
"588","6720463M24Rik"
"589","Cfl1"
"590","Manbal"
"591","Pitx2"
"592","Osbpl5"
"593","Wwox"
"594","Zdhhc15"
"595","Capn6"
"596","Sh3bp4"
"597","Akap12"
"598","Pdxp,Sh3bp1"
"599","Atxn10"
"600","Zfp704"
"601","Tspan6"
"602","1110038B12Rik,AC087117.1,AC087117.2,Snord52"
"603","Gata6"
"604","Cks1b"
"605","Rnf207"
"606","Emp1"
"607","Parva"
"608","Stxbp2"
"609","Armcx6"
"610","Shroom2"
"611","Aspm"
"612","Ston1"
"613","Pafah1b3"
"614","Nkd1"
"615","Cdh3"
"616","Brd3"
"617","Ccdc99"
"618","Id2"
"619","Fars2"
"620","Frem1"
"621","Apitd1"
"622","Armcx1"
"623","Fam64a"
"624","Hn1l"
"625","Aurka"
"626","Cnn3"
"627","Chpf2"
"628","Tcf7l1"
"629","Zfp821"
"630","Ddah2"
"631","Afap1l2"
"632","9830001H06Rik"
"633","Vps37b"
"634","4933413G19Rik,Foxm1"
"635","Tbx20"
"636","Socs2"
"637","Pold2"
"638","Rad51c"
"639","Net1"
"640","Plagl2"
"641","Sv2a"
"642","Cenpe"
"643","Hs2st1"
"644","Limd2"
"645","Nynrin"
"646","3632451O06Rik"
"647","Arhgap1"
"648","Mybl2"
"649","Vav3"
"650","Zfp618"
"651","Mex3b"
"652","BC067074"
"653","Phf21a"
"654","Arhgef2"
"655","Kazn"
"656","Cdkn1b"
"657","Rnf2"
"658","Dbn1"
"659","Ctdspl2"
"660","Dlg5"
"661","Spats2"
"662","Gm6548"
"663","Cdk6"
"664","Zim1"
"665","Slitrk2"
"666","Krt7"
"667","Sema6a"
"668","Cdca8"
"669","Arhgap18"
"670","Rest"
"671","4930579K19Rik"
